id,name,normalised_name,density
1,sugar,sugar,0.845351
2,ricotta,ricotta,1.014422
3,breadcrumb,breadcrumb,0.253605
4,pea,pea,0.612880
5,self-raising flour,self-raising flour,0.528345
6,light brown sugar,light brown sugar,0.781950
7,flaked almond,flaked almond,0.422676
8,spinach,spinach,0.126803
9,grated ginger,grated ginger,0.541025
10,diced potato,diced potato,0.634014
11,chopped ginger,chopped ginger,0.486077
12,chopped dark chocolate,chopped dark chocolate,0.676281
13,chopped pistachio,chopped pistachio,0.549478
14,soft brown sugar,soft brown sugar,0.781950
15,chopped walnut,chopped walnut,0.549478
16,golden syrup,golden syrup,1.479365
17,dark brown sugar,dark brown sugar,0.781950
18,pumpkin seed,pumpkin seed,0.634014
19,broad bean,broad bean,0.634014
20,wholemeal flour,wholemeal flour,0.549478
21,coconut oil,coconut oil,0.908753
22,mayonnaise,mayonnaise,1.014422
23,chopped peanut,chopped peanut,0.549478
24,greek yoghurt,greek yoghurt,1.014422
25,grated gruyere,grated gruyere,0.422676
26,light muscovado sugar,light muscovado sugar,0.781950
27,chopped almond,chopped almond,0.549478
28,chopped hazelnut,chopped hazelnut,0.549478
29,soft light brown sugar,soft light brown sugar,0.781950
30,water,water,0.997515
31,blueberry,blueberry,0.634014
32,grated pecorino,grated pecorino,0.359274
33,flour,flour,0.528345
34,chickpea flour,chickpea flour,0.528345
35,sliced potato,sliced potato,0.739682
36,frozen pea,frozen pea,0.612880
37,chopped tarragon,chopped tarragon,0.126803
38,pearl barley,pearl barley,0.845351
39,rice flour,rice flour,0.612880
40,golden caster sugar,golden caster sugar,0.845351
41,crumbled feta,crumbled feta,0.549478
42,chopped pecan,chopped pecan,0.549478
43,oat,oat,0.380408
44,sliced radish,sliced radish,0.486077
45,dark muscovado sugar,dark muscovado sugar,0.781950
46,strong white flour,strong white flour,0.528345
47,grated cheese,grated cheese,0.422676
48,red lentil,red lentil,0.845351
49,sliced leek,sliced leek,0.380408
50,beansprout,beansprout,0.317007
51,porridge oat,porridge oat,0.380408
52,dried porcini,dried porcini,0.147936
53,semolina,semolina,0.739682
54,rocket,rocket,0.084535
55,green lentil,green lentil,0.845351
56,arborio rice,arborio rice,0.845351
57,chopped kale,chopped kale,0.169070
58,condensed milk,condensed milk,1.310295
59,diced pumpkin,diced pumpkin,0.634014
60,dried apricot,dried apricot,0.634014
61,brown lentil,brown lentil,0.845351
62,sliced carrot,sliced carrot,0.549478
63,chopped date,chopped date,0.697415
64,diced tofu,diced tofu,0.697415
65,chopped herbs,chopped herbs,0.147936
66,baby spinach,baby spinach,0.126803
67,kale,kale,0.126803
68,bread flour,bread flour,0.528345
69,passata,passata,1.035555
70,silken tofu,silken tofu,0.887619
71,palm sugar,palm sugar,0.845351
72,ground pistachio,ground pistachio,0.507211
73,marmalade,marmalade,1.268027
74,tomato puree,tomato puree,1.098957
75,grated carrot,grated carrot,0.380408
76,pomegranate seed,pomegranate seed,0.676281
77,watercress,watercress,0.105669
78,blackberry,blackberry,0.570612
79,egg white,egg white,1.014422
80,white spelt flour,white spelt flour,0.549478
81,wholemeal spelt flour,wholemeal spelt flour,0.549478
